"id","Name","type","pharmacy","ethnic","merch","registers","selfchecko","total_registers","availability","cost","market","brand","area","Latitude","Longitude"
"SL-039","Lucky Grocery","Grocery Store","FALSE","FALSE","FALSE","10","8",18,25,4,127.563358914729,"Other",424938.800328054,"40.246193","-111.65644"
"SL-040","Vida Markets","Grocery Store","FALSE","TRUE","FALSE","3","0",3,12,5,124.129542071299,"Other",36985.5300697759,"40.246171","-111.656456"
"SL-013","Perez Market","Grocery Store","FALSE","TRUE","FALSE","3","0",3,9,0,157.188738876755,"Other",12743.120518744,"40.25840000000000173940861714072525501251220703125","-111.659099999999995134203345514833927154541015625"
"SL-014","Macey's","Dollar Store","FALSE","FALSE","FALSE","4","0",4,5,1,154.19432136058,"Macey's",273644.556887627,"40.25840000000000173940861714072525501251220703125","-111.659099999999995134203345514833927154541015625"
"SL-015","Harmons","Grocery Store","TRUE","FALSE","FALSE","9","5",14,25,1,142.632970168404,"Harmons",241708.794670582,"40.25840000000000173940861714072525501251220703125","-111.659099999999995134203345514833927154541015625"
"SL-010","Family Dollar","Dollar Store","FALSE","FALSE","FALSE","2","0",2,10,1,156.16428067262,"Family Dollar",42296.3787142336,"40.25840000000000173940861714072525501251220703125","-111.659099999999995134203345514833927154541015625"
"SL-012","Family Dollar","Dollar Store","FALSE","FALSE","FALSE","2","0",2,11,4,155.042696843551,"Family Dollar",32750.5966254175,"40.246231","-111.656494"
"SL-038","Smiths","Grocery Store","FALSE","FALSE","FALSE","9","8",17,28,3,138.423404651163,"Smith's",227418.295131251,"40.65960693359375","-111.91950225830078125"
"SL-037","John's Marketplace","Grocery Store","FALSE","FALSE","FALSE","3","0",3,21,7,112.235156589147,"Other",172781.30236733,"40.7592010498046875","-111.8874969482421875"
"SL-036","Family Dollar","Dollar Store","FALSE","FALSE","FALSE","2","0",2,12,1,155.505100117065,"Family Dollar",53435.4066383839,"40.7592010498046875","-111.8874969482421875"
"SL-052","Smiths","Grocery Store","TRUE","FALSE","FALSE","5","12",17,26,6,133.207226873385,"Smith's",155259.637500569,"40.2584","-111.6591"
"SL-034","Harmons","Grocery Store","TRUE","FALSE","FALSE","18","6",24,26,2,138.680784496124,"Harmons",393965.354616344,"40.246212","-111.656479"
"SL-031","Target","Grocery Store","FALSE","FALSE","TRUE","7","8",15,20,5,170.887609237726,"Target",304425.261999816,"40.2584075927734375","-111.6591033935546875"
"SL-035","The Fresh Market","Grocery Store","FALSE","FALSE","FALSE","8","6",14,26,0,145.560541085271,"Other",416267.669668257,"40.65960693359375","-111.91950225830078125"
"SL-027","Big Lots","Grocery Store","FALSE","FALSE","TRUE","3","0",3,10,4,169.850440964998,"Other",72528.6479396522,"40.246203","-111.656462"
"SL-025","Azteca de Oro","Other","FALSE","TRUE","FALSE","2","0",2,7,1,128.381447445643,"Other",49442.4726778269,"40.246209","-111.656443"
