Authors,Conceptualization,Methodology,Software,Validation,Formal Analysis,Investigation,Resources,Data curation,Writing - original draft,Writing - review & editing,Visualization,Supervision,Project administration,Funding acquisition
Gregory S. Macfarlane,1,1,1,0,0,0,1,0,1,0,1,1,0,0
Emma Stucki,0,0,1,0,0,1,0,1,1,0,0,0,0,0
Myrranda Salmon,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Alisha H. Redelfs,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Lori Spruance,0,1,0,0,0,0,1,0,0,1,0,0,0,0
